# Разделы каталога из выгрузки 1С.
#
# В выгрузке 246 товаров и 14 разделов, но НАЗВАНИЕ пришло только у одного.
# Остальные тринадцать 1С отдала одними номерами (GUID) — положить товар
# некуда, пока раздел не назван.
#
# В колонке «название» стоит ПРЕДЛОЖЕНИЕ, составленное по товарам внутри
# раздела, а не факт из выгрузки. Пока в колонке «подтверждено» стоит
# «нет», tools/1c-import.py не соберёт SQL для сайта — иначе в каталог
# уехали бы придуманные названия разделов.
#
# Заказчик смотрит 1c/predprosmotr.html, правит название, если надо,
# и ставит «да».
#
# guid;название;подтверждено
5240cfc2-c0a1-11ee-b034-a8a1590a763d;Дрели, шуруповёрты, перфораторы;да
f6b849f3-f38f-11e8-bf10-00241dd74de5;Пилы, цепи и шины;да
0a3526a0-9f44-11f0-b050-a8a1590a763d;Инструмент Hanskonner;да
892c22c8-2479-11e7-ab49-50465d5010be;Расходные материалы и крепёж;да
9a13e17c-fdb8-11e3-bfb6-00006c188258;Аккумуляторы, зарядные, патроны;да
262f1f71-8867-11ec-80f3-9c5c8e769bd3;Шлифовальные машины;да
e6ec88c6-ee75-11ef-b04d-a8a1590a763d;Лобзики, рубанки, ручной инструмент;да
0d8873c3-7046-11e4-bf71-50465d5010be;Мойки высокого давления;да
38be2943-34ae-11e9-80cd-9c5c8e769bd3;ЭЛЕКТРОИНСТРУМЕНТЫ;да
8a8d9432-f41b-11e8-bf55-00241dd74de5;Краскопульты и пневмоинструмент;да
86e06be6-9f43-11f0-b050-a8a1590a763d;Пылесосы строительные;да
303caa66-f0f7-11e8-9df8-00241dd74de5;Бетоносмесители;да
52c2c598-6d51-11ea-4694-f0795970f84c;Генераторы бензиновые;да
2f009eb0-35e7-11ec-80f3-9c5c8e769bd3;Фены технические;да
